test_state_no,depth,move,duration
0,1,"('D7', 'D6')",0.0009543895721435547
0,2,"('D7', 'D6')",0.0029969215393066406
0,3,"('D7', 'D6')",0.006001710891723633
0,4,"('D3', 'E3')",0.015192747116088867
0,5,"('D3', 'E3')",0.054138898849487305
0,6,"('D7', 'D6')",0.24774765968322754
1,1,"('C3', 'D3')",0.0
1,2,"('C3', 'D3')",0.001111745834350586
1,3,"('C3', 'D3')",0.004999637603759766
1,4,"('C3', 'D3')",0.010999679565429688
1,5,"('C3', 'D3')",0.032094717025756836
1,6,"('F4', 'F2')",0.1249234676361084
2,1,"('D7', 'A7')",0.0010013580322265625
2,2,"('E5', 'E4')",0.002086162567138672
2,3,"('E3', 'E4')",0.010013818740844727
2,4,"('E5', 'E4')",0.04811501502990723
2,5,"('E3', 'E4')",0.20531749725341797
2,6,"('E5', 'E4')",0.6384046077728271
3,1,"('B6', 'B4')",0.0009999275207519531
3,2,"('B6', 'B4')",0.002999544143676758
3,3,"('B6', 'B4')",0.01703929901123047
3,4,"('B6', 'B4')",0.049035072326660156
3,5,"('B6', 'B4')",0.13690590858459473
3,6,"('B6', 'B4')",0.5262084007263184
4,1,"('A1', 'D1')",0.0010426044464111328
4,2,"('A1', 'D1')",0.00399327278137207
4,3,"('C4', 'B4')",0.012104988098144531
4,4,"('D5', 'D6')",0.05284476280212402
4,5,"('C4', 'B4')",0.1656186580657959
4,6,"('C4', 'B4')",1.0738763809204102
5,1,"('G7', 'G4')",0.0010001659393310547
5,2,"('D6', 'D5')",0.007002115249633789
5,3,"('E5', 'D5')",0.03422188758850098
5,4,"('E5', 'D5')",0.13271808624267578
5,5,"('D6', 'D5')",0.5244095325469971
5,6,"('D6', 'D5')",1.931082010269165
6,1,"('B4', 'A4')",0.0010030269622802734
6,2,"('F2', 'F4')",0.004003047943115234
6,3,"('B4', 'A4')",0.014507770538330078
6,4,"('B4', 'A4')",0.036025047302246094
6,5,"('B4', 'A4')",0.11961150169372559
6,6,"('B4', 'A4')",0.457364559173584
7,1,"('B6', 'B4')",0.0010941028594970703
7,2,"('B2', 'D2')",0.0060002803802490234
7,3,"('C4', 'B4')",0.018901348114013672
7,4,"('C4', 'B4')",0.08707213401794434
7,5,"('C4', 'B4')",0.29360198974609375
7,6,"('C4', 'B4')",1.0737290382385254
8,1,"('G1', 'D1')",0.0
8,2,"('E3', 'D3')",0.006995439529418945
8,3,"('E3', 'D3')",0.022998809814453125
8,4,"('B6', 'B4')",0.11562275886535645
8,5,"('G1', 'D1')",0.43274617195129395
8,6,"('A4', 'B4')",2.00479793548584
9,1,"('A4', 'B4')",0.001032114028930664
9,2,"('B2', 'D2')",0.006569385528564453
9,3,"('A4', 'B4')",0.017996788024902344
9,4,"('A4', 'B4')",0.04490542411804199
9,5,"('A4', 'B4')",0.14529109001159668
9,6,"('A4', 'B4')",0.5521707534790039
